,Year,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeScorers,AwayScorers,ExtraTime,Penalty,HomePenaltyScore,AwayPenaltyScore,Stadium,Location,Attendance,Referee
12,1930,13 July 1930,15:00 UYT (UTC−03:30),United States,Belgium,3,0,McGhee  23'Florie  45'Patenaude  69',,0,0,0,0,Estadio Parque Central, Montevideo,"18,346",José Macías (Argentina)
13,1930,17 July 1930,14:45 UYT (UTC−03:30),United States,Paraguay,3,0,"Patenaude  10', 15', 50'",,0,0,0,0,Estadio Parque Central, Montevideo,"18,306",José Macías (Argentina)
14,1930,20 July 1930,15:00 UYT (UTC−03:30),Paraguay,Belgium,1,0,Vargas Peña  40',,0,0,0,0,Estadio Centenario, Montevideo,"12,000",Ricardo Vallarino (Uruguay)
15,1930,26 July 1930,14:45 UYT,Argentina,United States,6,1,"Monti  20'Scopelli  56'Stábile  69', 87'Peucelle  80', 85'",Brown  89',0,0,0,0,Estadio Centenario, Montevideo,"72,886",John Langenus (Belgium)
16,1930,27 July 1930,14:45 UYT (UTC−03:30),Uruguay,Yugoslavia,6,1,"Cea  18', 67', 72'Anselmo  20', 31'Iriarte  61'",Vujadinović  4',0,0,0,0,Estadio Centenario, Montevideo,"79,867",Gilberto de Almeida Rêgo (Brazil)
17,1930,30 July 1930 (1930-07-30),12:45 UYT (UTC-03:30),Uruguay,Argentina,4,2,Dorado  12'Cea  57'Iriarte  68'Castro  89',Peucelle  20'Stábile  37',0,0,0,0,Estadio Centenario, Montevideo,"68,346",John Langenus (Belgium)
18,1934,27 May 1934,16:00 CET (UTC+01:00),Spain,Brazil,3,1,"Iraragorri  18' (pen.), 25'Lángara  29'",Leônidas  55',0,0,0,0,Stadio Luigi Ferraris, Genoa,"21,000",Alfred Birlem (Germany)
19,1934,27 May 1934,16:00 CET (UTC+01:00),Hungary,Egypt,4,2,"Teleki  11'Toldi  31', 61'Vincze  53'","Fawzi  35', 39'",0,0,0,0,Stadio Giorgio Ascarelli, Naples,"9,000",Rinaldo Barlassina (Italy)
20,1934,27 May 1934,16:00 CET (UTC+01:00),Switzerland,Netherlands,3,2,"Kielholz  7', 43'Abegglen  66'",Smit  29'Vente  69',0,0,0,0,Stadio San Siro, Milan,"33,000",Ivan Eklind (Sweden)
21,1934,27 May 1934,16:00 CET (UTC+01:00),Italy,United States,7,1,"Schiavio  18', 29', 64'Orsi  20', 69'Ferrari  63'Meazza  90'",Donelli  57',0,0,0,0,Stadio Nazionale PNF, Rome,"25,000",René Mercet (Switzerland)
22,1934,27 May 1934,16:00 CET (UTC+01:00),Czechoslovakia,Romania,2,1,Puč  50'Nejedlý  67',Dobay  11',0,0,0,0,Stadio Littorio, Trieste,"9,000",John Langenus (Belgium)
23,1934,27 May 1934,16:00 CET (UTC+01:00),Sweden,Argentina,3,2,"Jonasson  9', 67'Kroon  79'",Belis  4'Galateo  48',0,0,0,0,Stadio Littoriale, Bologna,"14,000",Eugen Braun (Austria)
24,1934,27 May 1934,16:00 CET (UTC+01:00),Austria,France,3,2,Sindelar  44'Schall  93'Bican  109',Nicolas  18'Verriest  116' (pen.),1,0,0,0,Stadio Benito Mussolini, Turin,"16,000",Johannes van Moorsel (Netherlands)
25,1934,27 May 1934,16:00 CET (UTC+01:00),Germany,Belgium,5,2,"Kobierski  25'Siffling  49'Conen  66', 70', 87'","Voorhoof  29', 43'",0,0,0,0,Stadio Giovanni Berta, Florence,"8,000",Francesco Mattea (Italy)
